imagewall,position,representative_colors,image_name,dominant_color
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,1,"#ece7e8,#464342,#84605a,#969092,#907d6b",e4999ac69b32c9cc.jpg,#ede7ed
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,2,"#ece7e8,#464342,#84605a,#969092,#907d6b",e1cdce939830cf32.jpg,#494344
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,3,"#ece7e8,#464342,#84605a,#969092,#907d6b",b1ccce939830cf33.jpg,#494345
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,4,"#ece7e8,#464342,#84605a,#969092,#907d6b",e4309b639ace9b98.jpg,#f0e8ef
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,5,"#ece7e8,#464342,#84605a,#969092,#907d6b",e79a9865229a659b.jpg,#2f2b29
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,6,"#ece7e8,#464342,#84605a,#969092,#907d6b",b39bcc643393309b.jpg,#c1bdbd
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,7,"#ece7e8,#464342,#84605a,#969092,#907d6b",e59a9acd9a316433.jpg,#dbccc2
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,8,"#ece7e8,#464342,#84605a,#969092,#907d6b",f9c6863993c66c98.jpg,#f2eaf1
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,9,"#ece7e8,#464342,#84605a,#969092,#907d6b",b3cccd33668c31c6.jpg,#e8e1d8
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,10,"#ece7e8,#464342,#84605a,#969092,#907d6b",e4cc99339b386566.jpg,#e2e0e4
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,11,"#ece7e8,#464342,#84605a,#969092,#907d6b",e4309bc798ce3399.jpg,#3e3a38
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,12,"#ece7e8,#464342,#84605a,#969092,#907d6b",e5309acf653098cf.jpg,#3f5964
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,13,"#ece7e8,#464342,#84605a,#969092,#907d6b",e1ce9a3165ce30d9.jpg,#e5daca
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,14,"#ece7e8,#464342,#84605a,#969092,#907d6b",e6cc9933669833cc.jpg,#eae3da
IW_Geral_MobileNetV2_rep_top_15_05_05_25_18_38.jpg,15,"#ece7e8,#464342,#84605a,#969092,#907d6b",e6999966cc99338c.jpg,#eee9e6
