bin_id,nome_cor,num_celulas,proporcao_area,cores_hex,num_cores
0,Vermelho,25,0.0625,"#ca8d7f,#d69082,#8f6c67,#9c625f,#a65c58,#af594f,#b85845,#776766,#af483f,#b64d35,#a53e3c,#a94231,#9b352e,#9b3b25,#8f2d24,#892624,#542b27,#5e2920,#852523,#6a2320,#7f2421,#802f1a,#5d241d,#782220,#7f2b1b",25
1,Vermelho-alaranjado,61,0.1525,"#d0b9a4,#ecbb90,#c1ad9d,#caaa97,#d2aa8f,#d9af87,#ebaf84,#bca092,#c59b8c,#cf9b89,#d8a086,#dea77f,#a9968a,#b49282,#be8e7e,#dc977b,#dea069,#958a84,#a0887b,#ab8573,#b5826e,#c0816b,#cc826a,#d28762,#d68f55,#8a7f78,#977a70,#a37568,#ad7160,#b77059,#c17051,#c77349,#cc7841,#cf7b3b,#d07a38,#80736e,#bf5c3c,#c46434,#c7682f,#c8672c,#bb572d,#bf5c27,#c25924,#ad4b28,#b04e21,#b34c1d,#9a411d,#994318,#464443,#8a371b,#863e15,#83331a,#7f3b14,#82321a,#7e3a14,#3f2a1b,#4b2919,#7d3814,#372718,#412916,#7d3615",61
2,Laranja,34,0.085,"#f7eed6,#f6ebcd,#f5e8c6,#f2e3bb,#f3e1bc,#efd9aa,#f1d7ac,#d3c9b9,#d8c9b4,#decca9,#e9d296,#eccd99,#eec99c,#c8baa8,#d7ba99,#ddbf8f,#e1c38a,#e5c389,#e9bf8c,#b8b09e,#deb481,#e2b67d,#e7b37e,#b2a496,#e0ab73,#e4ac6d,#e8aa6e,#9f988f,#e0a45d,#e3a45a,#8c8b89,#d9934c,#db9449,#545352",34
3,Amarelo-alaranjado,29,0.0725,"#eeede0,#f3efe1,#f6f2e2,#f7f3e2,#f7f1de,#eceada,#f0ecd9,#f4eed7,#f5efd4,#f5edd1,#f5eacb,#e5e4d5,#e8e4d1,#ece5cb,#efe7c2,#f0e8bc,#f1e7bb,#dbd9cd,#dedaca,#e1dac5,#e6dbba,#e9deac,#ebe0a5,#eddea5,#cdcaba,#e3d19c,#e6d495,#bfbca8,#a7a597",29
4,Amarelo,12,0.03,"#ebebe6,#ebebe4,#ecece1,#e8e8e4,#e9e9e0,#e9e9dd,#e3e3dd,#e4e4da,#d7d8d0,#aeb19d,#80807c,#757571",12
5,Amarelo-esverdeado,3,0.0075,"#c6caba,#b7bda6,#969892",3
6,Chartreuse,6,0.015,"#e9eae8,#d3d7d1,#c1c9bc,#b2bcaa,#a8b1a0,#9fa599",6
8,Verde,2,0.005,"#e6e7e6,#e0e1e0",2
9,Verde-cian,12,0.03,"#dce9e1,#e4e9e6,#d8e5de,#bbc8bf,#acbbb0,#9fb1a4,#93a799,#8a9b92,#547f69,#66786d,#4e715f,#3d4641",12
10,Ciano-esverdeado,22,0.055,"#dbebe6,#d8eae1,#cce6de,#d0e6db,#e1e6e4,#c5dfd5,#d1dfda,#ced6d2,#91b4a7,#77b1a1,#80ae98,#77a491,#818e8a,#64897f,#74837c,#4a8573,#417561,#3c6658,#365a4f,#3f574e,#4a5551,#344841",22
11,Ciano,21,0.0525,"#d4e9e7,#c3e3df,#afdbd7,#baded6,#dbe0df,#acd2d1,#b9d4cf,#c5d5d1,#b4c7c4,#a4bbb8,#8ab5b2,#6ca798,#639a94,#70958d,#588f88,#3b7271,#606a68,#346362,#4b625c,#305957,#2e4a47",21
12,Ciano-azulado,16,0.04,"#a9d6e3,#bfe0e3,#a1d4e0,#b2dcde,#9ad0df,#a3d5d9,#99ccd9,#a1cfd4,#acc5ca,#79aeb3,#6ba4aa,#2aa5c4,#5d98a2,#518f96,#458385,#2b4950",16
