imagewall,position,representative_colors,image_name,dominant_color
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,1,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",ea5891a7d86b968c.jpg,#301328
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,2,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",f7dfc910a82fd060.jpg,#ceccc6
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,3,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",b861c73cc79ac3c2.jpg,#8d8d90
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,4,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",af6ad0959497c4b1.jpg,#9ea0a4
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,5,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",bca6c2c3c3cfc60c.jpg,#403f3f
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,6,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",a56dcec9c3929866.jpg,#515c4c
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,7,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",ee1e91c1623a9d87.jpg,#3b3c38
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,8,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",fa5b85a02a4fd5b0.jpg,#cbcaca
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,9,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",ae1bd1e43e1ac6a1.jpg,#444d62
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,10,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",e699649b66899966.jpg,#f8f0d1
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,11,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",e649999685697a5a.jpg,#3c3938
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,12,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",bc28c765c7c231cb.jpg,#8c8d8f
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,13,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",af41f906f007d81f.jpg,#d2cecc
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,14,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",e990c66e9c9b6934.jpg,#f1f0f0
IW_Geral_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,15,"#d8d6d3,#39383c,#838485,#a73e21,#c47a35",b3e2cc98d1ce3323.jpg,#e4e4e5
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,1,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",ea5891a7d86b968c.jpg,#301328
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,2,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",f7dfc910a82fd060.jpg,#ceccc6
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,3,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",b861c73cc79ac3c2.jpg,#8d8d90
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,4,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",af6ad0959497c4b1.jpg,#9ea0a4
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,5,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",bca6c2c3c3cfc60c.jpg,#403f3f
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,6,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",a56dcec9c3929866.jpg,#515c4c
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,7,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",ee1e91c1623a9d87.jpg,#3b3c38
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,8,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",fa5b85a02a4fd5b0.jpg,#cbcaca
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,9,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",ae1bd1e43e1ac6a1.jpg,#444d62
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,10,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",e699649b66899966.jpg,#f8f0d1
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,11,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",e649999685697a5a.jpg,#3c3938
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,12,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",bc28c765c7c231cb.jpg,#8c8d8f
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,13,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",af41f906f007d81f.jpg,#d2cecc
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,14,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",e990c66e9c9b6934.jpg,#f1f0f0
IW_Grupo_store_Cairo Museum_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,15,"#0c0c0d,#eae5de,#654b3d,#a38155,#79868b",b3e2cc98d1ce3323.jpg,#e4e4e5
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,1,"#bab9b6,#353533,#666762,#4d4a48,#52564b",ea5891a7d86b968c.jpg,#301328
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,2,"#bab9b6,#353533,#666762,#4d4a48,#52564b",f7dfc910a82fd060.jpg,#ceccc6
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,3,"#bab9b6,#353533,#666762,#4d4a48,#52564b",b861c73cc79ac3c2.jpg,#8d8d90
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,4,"#bab9b6,#353533,#666762,#4d4a48,#52564b",af6ad0959497c4b1.jpg,#9ea0a4
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,5,"#bab9b6,#353533,#666762,#4d4a48,#52564b",bca6c2c3c3cfc60c.jpg,#403f3f
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,6,"#bab9b6,#353533,#666762,#4d4a48,#52564b",a56dcec9c3929866.jpg,#515c4c
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,7,"#bab9b6,#353533,#666762,#4d4a48,#52564b",ee1e91c1623a9d87.jpg,#3b3c38
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,8,"#bab9b6,#353533,#666762,#4d4a48,#52564b",fa5b85a02a4fd5b0.jpg,#cbcaca
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,9,"#bab9b6,#353533,#666762,#4d4a48,#52564b",ae1bd1e43e1ac6a1.jpg,#444d62
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,10,"#bab9b6,#353533,#666762,#4d4a48,#52564b",e699649b66899966.jpg,#f8f0d1
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,11,"#bab9b6,#353533,#666762,#4d4a48,#52564b",e649999685697a5a.jpg,#3c3938
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,12,"#bab9b6,#353533,#666762,#4d4a48,#52564b",bc28c765c7c231cb.jpg,#8c8d8f
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,13,"#bab9b6,#353533,#666762,#4d4a48,#52564b",af41f906f007d81f.jpg,#d2cecc
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,14,"#bab9b6,#353533,#666762,#4d4a48,#52564b",e990c66e9c9b6934.jpg,#f1f0f0
IW_Grupo_store_Louvre Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,15,"#bab9b6,#353533,#666762,#4d4a48,#52564b",b3e2cc98d1ce3323.jpg,#e4e4e5
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,1,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",ea5891a7d86b968c.jpg,#301328
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,2,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",f7dfc910a82fd060.jpg,#ceccc6
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,3,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",b861c73cc79ac3c2.jpg,#8d8d90
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,4,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",af6ad0959497c4b1.jpg,#9ea0a4
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,5,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",bca6c2c3c3cfc60c.jpg,#403f3f
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,6,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",a56dcec9c3929866.jpg,#515c4c
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,7,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",ee1e91c1623a9d87.jpg,#3b3c38
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,8,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",fa5b85a02a4fd5b0.jpg,#cbcaca
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,9,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",ae1bd1e43e1ac6a1.jpg,#444d62
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,10,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",e699649b66899966.jpg,#f8f0d1
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,11,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",e649999685697a5a.jpg,#3c3938
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,12,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",bc28c765c7c231cb.jpg,#8c8d8f
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,13,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",af41f906f007d81f.jpg,#d2cecc
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,14,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",e990c66e9c9b6934.jpg,#f1f0f0
IW_Grupo_store_MAM SP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,15,"#e7e6e5,#2f3d47,#a44c3f,#8ea09d,#b08360",b3e2cc98d1ce3323.jpg,#e4e4e5
IW_Grupo_store_MASP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,1,"#d4d1ca,#2e2722,#654739,#85694e,#7b7773",ea5891a7d86b968c.jpg,#301328
IW_Grupo_store_MASP Store_MobileNetV2_ranking_price_int_brl_top_15_05_05_25_18_40.jpg,2,"#d4d1ca,#2e2722,#654739,#85694e,#7b7773",f7dfc910a82fd060.jpg,#ceccc6
