bin_id,nome_cor,num_celulas,proporcao_area,cores_hex,num_cores
0,Vermelho,27,0.0675,"#eae8e8,#cab7b4,#d6bcb9,#e0bfbe,#e6c6c0,#e5b2af,#b2908e,#a5473a,#ba4837,#824136,#9c3534,#c0342a,#70392d,#8a332b,#a32927,#b32323,#bf2e1f,#221f1f,#8e2f1f,#a1261d,#ae211a,#bb2819,#c43717,#1f1b1a,#903019,#9f2618,#af1a17",27
1,Vermelho-alaranjado,41,0.1025,"#efedec,#d6cdc5,#ddd1c8,#e2d3ca,#e7d7cb,#bcb4ad,#ead2c0,#aca198,#e6c4ab,#dea896,#b88979,#ca8e7b,#d4a07a,#bd8460,#cc9662,#b37a4c,#c5894f,#ac6640,#c06f40,#ce833f,#8d553b,#c85933,#d6802e,#6a4a35,#cd5325,#282625,#44352a,#5a3b2c,#cc521b,#d97819,#26211f,#342720,#472f22,#5b3323,#743422,#1e1c1b,#291e19,#3b261b,#4e2e1d,#65341c,#7d351b",41
2,Laranja,68,0.17,"#f5f3ee,#f0efee,#f1f0ee,#f1efec,#ecebe9,#f5f1e7,#f6f0e4,#e4e3e2,#e7e5e2,#f0ece4,#f2eee5,#f4eee4,#f5eee2,#f5eee0,#dfdddb,#e3e0db,#e6e2db,#e9e4da,#ece6dc,#f0e8de,#f2eade,#f4ecde,#f6eddd,#d7d4d1,#ddd9d2,#e2dcd2,#e5ded3,#eae0d4,#eee3d6,#f1e7d8,#f4ebda,#f6eddb,#cbc7c2,#ecddce,#f0e4d1,#f4e9d5,#f6ecd7,#eedcc3,#f2e4c9,#f5e8cf,#e9d1ad,#eed9b4,#f1dfbb,#e1ba92,#e4c593,#e8cd99,#ecd29e,#a28c74,#dbb27a,#e0bb7b,#e5c37d,#e9ca7e,#a8845d,#d6a964,#ddb464,#e5c061,#9c804a,#d29d4f,#dcae4d,#947140,#dba03b,#75623b,#e6ac27,#534732,#dd881f,#e9af1c,#322c26",67
3,Amarelo-alaranjado,28,0.07,"#f3f2ee,#f5f4ee,#f6f5ee,#f6f5ed,#f5f4ed,#f6f5ec,#f3f2ed,#f5f3ed,#f5f4ec,#f6f3eb,#f6f3e9,#efeee9,#f2f0ea,#f4f2ea,#f5f2e9,#e9e8e2,#eceae3,#9c9683,#908a5b,#eac95e,#e6c048,#edcb43,#e8bc34,#efcb2e,#efc622,#3d3c2f",26
4,Amarelo,7,0.0175,"#f0f0ef,#f1f1ef,#8c906c,#84884a,#7d7c41,#5e603a,#31312d",7
5,Amarelo-esverdeado,6,0.015,"#7c8c58,#70844b,#556641,#687642,#3d4137,#495137",6
6,Chartreuse,2,0.005,"#678953,#5f794a",2
7,Verde-amarelado,7,0.0175,"#a6b6a4,#91aa8c,#7fa274,#719861,#538050,#4e6949,#475442",7
8,Verde,3,0.0075,"#bbc3bb,#67a56e,#5b955b",3
9,Verde-cian,4,0.01,"#8db79c,#78af85,#4b8660,#456f54",4
10,Ciano-esverdeado,6,0.015,"#cccecd,#a5beb3,#7aac9b,#67a389,#569774,#43574d",6
11,Ciano,12,0.03,"#8fb4af,#4b847f,#42776c,#3d615d,#0e4f49,#124947,#0b5443,#0e5042,#134442,#0d5141,#104840,#114541",12
