link_loja,link_imagem,image_name_new,description,preco_original,moeda,price_int_brl,store,pais,Continente,status,filesize_kb,width,height,pHash
https://www.lojamam.org.br/chaveiro-abridor-garrafa-azul-mam309.html,imagem baixada,b0cecf3030cfcf30.jpg,"Chaveiro abridor de garrafa azul MAM Chaveiro na cor azul com logomarca do Museu de Arte Moderna.
Saiba Mais",15.0,Real,15.0,MAM SP Store,Brasil,America do Sul,sem link,13.59,600.0,600.0,b0cecf3030cfcf30
https://www.lojamam.org.br/chaveiro-abridor-garrafa-lils-mam310.html,imagem baixada,b0cecf3030cfcf30.jpg,"Chaveiro abridor de garrafa lilás MAM Chaveiro na cor lilás com logomarca do Museu de Arte Moderna.
Saiba Mais",15.0,Real,15.0,MAM SP Store,Brasil,America do Sul,sem link,13.59,600.0,600.0,b0cecf3030cfcf30
https://www.lojamam.org.br/chaveiro-abridor-garrafa-verde-mam311.html,imagem baixada,b0cecf3030cfcf30.jpg,"Chaveiro abridor de garrafa verde MAM Chaveiro na cor verde com logomarca do Museu de Arte Moderna.
Saiba Mais",15.0,Real,15.0,MAM SP Store,Brasil,America do Sul,sem link,13.59,600.0,600.0,b0cecf3030cfcf30
https://www.lojamam.org.br/chaveiro-abridor-garrafa-laranja-mam312.html,imagem baixada,b0cecf3030cfcf30.jpg,"Chaveiro abridor de garrafa laranja MAM Chaveiro na cor laranja com logomarca do Museu de Arte Moderna.
Saiba Mais",15.0,Real,15.0,MAM SP Store,Brasil,America do Sul,sem link,13.59,600.0,600.0,b0cecf3030cfcf30
https://www.lojamam.org.br/im-joseca-yanomami-mam313.html,imagem baixada,bf0fd090c64f3b90.jpg,"Imã 38º panorama - Joseca Yanomami Reprodução em imã de obra de Joseca Yanomami, exposta no 38° Panorama da Arte Brasileira: 1000º Graus, exposição realizada no Museu de Arte Moderna de São Paulo.
Saiba Mais",20.9,Real,20.9,MAM SP Store,Brasil,America do Sul,sem link,46.16,600.0,600.0,bf0fd090c64f3b90
https://www.lojamam.org.br/im-ivan-campos-mam314.html,imagem baixada,ef8690394b662e9c.jpg,"Imã 38º Panorama - Ivan Campos Reprodução em imã de obra de Ivan Campos, exposta no 38° Panorama da Arte Brasileira: 1000º Graus, exposição realizada no Museu de Arte Moderna de São Paulo.
Saiba Mais",20.9,Real,20.9,MAM SP Store,Brasil,America do Sul,sem link,53.87,600.0,600.0,ef8690394b662e9c
https://www.lojamam.org.br/im-lucas-arruda-mam315.html,imagem baixada,bf91c06e6b913c94.jpg,"Imã 38º panorama - Lucas Arruda Reprodução em imã de obra de Lucas Arruda, exposta no 38° Panorama da Arte Brasileira: 1000º Graus, exposição realizada no Museu de Arte Moderna de São Paulo.
Saiba Mais",20.9,Real,20.9,MAM SP Store,Brasil,America do Sul,sem link,34.08,600.0,600.0,bf91c06e6b913c94
https://www.lojamam.org.br/moleskine-joseca-yanomami-mam317.html,imagem baixada,e4619b92cfcd189a.jpg,"Moleskine 38º panorama - Joseca Yanomami Caderno com reprodução de obra do artista Joseca Yanomami.
Saiba Mais",60.0,Real,60.0,MAM SP Store,Brasil,America do Sul,sem link,36.15,600.0,600.0,e4619b92cfcd189a
https://www.lojamam.org.br/moleskine-ivan-campos-mam318.html,imagem baixada,eda69219929ec366.jpg,"Moleskine 38º panorama - Ivan Campos Caderno com reprodução de obra do artista Ivan Campos.
Saiba Mais",60.0,Real,60.0,MAM SP Store,Brasil,America do Sul,sem link,53.17,600.0,600.0,eda69219929ec366
https://www.lojamam.org.br/camiseta-maria-lira-p-mam321.html,imagem baixada,b2e6679827366398.jpg,"Camiseta 38º panorama -  Maria Lira - P Camiseta com reprodução de obra da artista Maria Lira, em parceria com a Hang Loose.
Saiba Mais",169.9,Real,169.9,MAM SP Store,Brasil,America do Sul,sem link,29.61,600.0,600.0,b2e6679827366398
